iter	Passed	Remaining
414	2853	584
415	2858	577
416	2862	569
417	2868	562
418	2873	555
419	2878	548
420	2884	541
421	2891	534
422	2896	527
423	2902	520
424	2907	513
425	2912	505
426	2917	498
427	2922	491
428	2927	484
429	2934	477
430	2939	470
431	2945	463
432	2950	456
433	2955	449
434	2962	442
435	2966	435
436	2971	428
437	2975	421
438	2981	414
439	2987	407
440	2991	400
441	2998	393
442	3003	386
443	3010	379
444	3015	372
445	3019	365
446	3024	358
447	3030	351
448	3035	344
449	3039	337
450	3045	330
451	3050	323
452	3055	317
453	3062	310
454	3067	303
455	3071	296
456	3079	289
457	3085	282
458	3095	276
459	3101	269
460	3108	262
461	3115	256
462	3119	249
463	3129	242
464	3135	236
465	3144	229
466	3150	222
467	3159	216
468	3164	209
469	3169	202
470	3177	195
471	3182	188
472	3188	181
473	3193	175
474	3198	168
475	3204	161
476	3211	154
477	3216	148
478	3223	141
479	3229	134
480	3239	127
481	3243	121
482	3247	114
483	3252	107
484	3257	100
485	3261	93
486	3265	87
487	3270	80
488	3274	73
489	3279	66
490	3285	60
491	3289	53
492	3294	46
493	3298	40
494	3304	33
495	3309	26
496	3314	20
497	3319	13
498	3324	6
499	3328	0
