iter	Logloss
221	0.3934212757
222	0.3927756773
223	0.3923124147
224	0.3918882425
225	0.3916022845
226	0.3912520804
227	0.3909662855
228	0.3905818148
229	0.3904535892
230	0.3900277655
231	0.389589581
232	0.3890429078
233	0.3886443088
234	0.388063241
235	0.3875707496
236	0.3872596623
237	0.38683281
238	0.3865022893
239	0.3861206011
240	0.38579985
241	0.3854720589
242	0.3852701391
243	0.3850288108
244	0.3849348995
245	0.3846718432
246	0.384357007
247	0.3839488006
248	0.3835593839
249	0.3832850924
250	0.3829354602
251	0.3826868175
252	0.3822791068
253	0.38177378
254	0.3813226675
255	0.3810839992
256	0.380723005
257	0.3805775602
258	0.3801807904
259	0.3797715949
260	0.379417182
261	0.3791474509
262	0.3787809859
263	0.3785643089
264	0.3781731121
265	0.3778569878
266	0.3774840748
267	0.3772229525
268	0.3769965952
269	0.3767000924
270	0.3764585425
271	0.376210086
272	0.3758533951
273	0.3755906054
274	0.3752013953
275	0.3747573418
276	0.3746431926
277	0.3744348351
278	0.3740845461
279	0.3736950849
280	0.3733999999
281	0.3731514267
282	0.3729303788
283	0.3728273995
284	0.3725891021
285	0.3723084638
286	0.3721134043
287	0.3719116946
288	0.3717974398
289	0.3714368868
290	0.370884942
291	0.3705741786
292	0.370319544
293	0.370015858
294	0.369582944
295	0.3693113492
296	0.3688080724
297	0.3686142637
298	0.3683825332
299	0.3680762814
300	0.3677706034
301	0.3675186793
302	0.3673055284
303	0.3670955862
304	0.3667852563
305	0.3666617161
306	0.3664227102
307	0.3662083304
308	0.3660382329
309	0.3658802105
310	0.3656214894
311	0.3653160714
312	0.3649325249
313	0.3646872786
314	0.3643321909
315	0.3640959547
316	0.3637455661
317	0.3635367661
318	0.3634287969
319	0.3629863541
320	0.3625994997
321	0.3624238086
322	0.3621886928
323	0.3620257579
324	0.3618157617
325	0.3614921908
326	0.3612142445
327	0.3608463961
328	0.3604775782
329	0.3601281531
330	0.3598402155
331	0.3595874925
332	0.3593333157
333	0.3590667149
334	0.3587809815
335	0.3585050402
336	0.3583390748
337	0.3581045135
338	0.3577777417
339	0.3573867354
340	0.357112807
341	0.3566038249
342	0.3563855377
343	0.3560331152
344	0.3557629945
345	0.3553696486
346	0.3551122119
347	0.354933086
348	0.3545897477
349	0.3544198895
350	0.3541811982
351	0.3539467669
352	0.3535658694
353	0.3533493153
354	0.3532563886
355	0.3529822252
356	0.3527977491
357	0.3525123176
358	0.3520842717
359	0.351801842
360	0.351451863
361	0.3509663304
362	0.3508036493
363	0.3504792308
364	0.350272022
365	0.3500510691
366	0.3498457753
367	0.34954437
368	0.3493159217
369	0.3490977107
370	0.348645602
371	0.3484530492
372	0.3482504727
373	0.3479124592
374	0.3476045197
375	0.3472202476
376	0.3470694381
377	0.3469148355
378	0.3467222123
379	0.3465528695
380	0.3462865406
381	0.3461110463
382	0.3457736884
383	0.3453622533
384	0.3450000059
385	0.344599247
386	0.3443025656
387	0.3439512003
388	0.3436495078
389	0.3434548493
390	0.3431510385
391	0.3428111446
392	0.3425858943
393	0.3423865662
394	0.3422858238
395	0.3420855081
396	0.3418681201
397	0.3415220179
398	0.3413241089
399	0.3409511615
400	0.3407584479
401	0.3404578677
402	0.3402322497
403	0.3399130511
404	0.3396927327
405	0.3393916418
406	0.3391334656
407	0.3389047631
408	0.3386618781
409	0.3384907377
410	0.3383149558
411	0.3380959639
412	0.3378752108
413	0.3375687299
414	0.3372333628
415	0.3370574953
416	0.3366982134
417	0.3365200585
418	0.3364123245
419	0.3362101698
420	0.3360370849
421	0.3358799275
422	0.3357234255
423	0.3355262499
424	0.3353700838
425	0.33497752
426	0.3346788557
427	0.3345032658
428	0.3342643867
429	0.3341076957
430	0.3337737057
431	0.3334899458
432	0.3332650087
433	0.3330603765
434	0.3329315659
435	0.3327479618
436	0.3325198861
437	0.3323344814
438	0.3320587897
439	0.3316373913
440	0.3315773807
441	0.3313942191
442	0.3310098267
443	0.3307795171
444	0.33064916
445	0.3304580243
446	0.330267013
447	0.3299846786
448	0.3298653875
449	0.3295623673
450	0.329410039
451	0.3291802074
452	0.3287795027
453	0.328638185
454	0.3284398869
455	0.3283098662
456	0.3281298159
457	0.327892067
458	0.3276934597
459	0.3276170712
460	0.3273277223
461	0.326984694
462	0.3267210324
463	0.3265628697
464	0.3262994635
465	0.3261349931
466	0.3259880012
467	0.3258320353
468	0.3256736713
469	0.3255238177
470	0.3253272328
471	0.3251631548
472	0.3249583738
473	0.3248914699
474	0.3246634323
475	0.3244924271
476	0.3242321582
477	0.3240656971
478	0.3239131507
479	0.3237182299
480	0.3234233382
481	0.323253126
482	0.3230008326
483	0.3228861559
484	0.3226474583
485	0.3224672293
486	0.3222633061
487	0.3221512563
488	0.3220839861
489	0.3219439607
490	0.3217746422
491	0.3215370833
492	0.3213195926
493	0.3210765608
494	0.3207093614
495	0.3204118751
496	0.3201529794
497	0.3201030443
498	0.3199849948
499	0.319745148
