iter	Logloss
0	0.6720694391
1	0.6507286004
2	0.6319433149
3	0.6162410835
4	0.6033777765
5	0.5911601235
6	0.5800534536
7	0.5718333004
8	0.564341865
9	0.5562945656
10	0.5487374743
11	0.5428436672
12	0.5362249207
13	0.5309969336
14	0.5267051819
15	0.5229601888
16	0.518858529
17	0.51474652
18	0.5109275186
19	0.5072322715
20	0.5059389459
21	0.5037727734
22	0.5006684142
23	0.4981413454
24	0.4954805728
25	0.4931701037
26	0.4907259717
27	0.4888981819
28	0.4872529878
29	0.4852072346
30	0.4838139875
31	0.4820391992
32	0.4805775808
33	0.4791694153
34	0.4776231664
35	0.4763341373
36	0.4749915587
37	0.4735211469
38	0.472637876
39	0.4715936571
40	0.4708769581
41	0.4700622656
42	0.4688320856
43	0.4675987431
44	0.4666559845
45	0.4660522948
46	0.4652381204
47	0.4644336839
48	0.4635220788
49	0.462532647
50	0.4619869391
51	0.4612659197
52	0.4604185911
53	0.4600184567
54	0.4595422129
55	0.4589490645
56	0.4580934088
57	0.4575661074
58	0.4570577303
59	0.4562859444
60	0.4559839133
61	0.4555136411
62	0.4548676575
63	0.454455299
64	0.453853155
65	0.4535336984
66	0.4525994373
67	0.451989471
68	0.4515491785
69	0.4508010058
70	0.4501650525
71	0.4497391327
72	0.4493548364
73	0.4490939776
74	0.448762156
75	0.4482907583
76	0.4479431879
77	0.4472538061
78	0.4469426442
79	0.446547068
80	0.4462978872
81	0.445676249
82	0.4452661549
83	0.4447222153
84	0.4442806337
85	0.443887113
86	0.4438079701
87	0.4436350532
88	0.4432505618
89	0.4425037128
90	0.4420083218
91	0.4412006719
92	0.4406016665
93	0.4402271932
94	0.4399070772
95	0.4394583868
96	0.4393045504
97	0.4389617833
98	0.4385090251
99	0.4381716992
100	0.437813246
101	0.4374478138
102	0.4372929873
103	0.4366374626
104	0.436299616
105	0.4358633265
106	0.4355980981
107	0.4352244851
108	0.4348564601
109	0.4344078201
110	0.4340293498
111	0.4336737166
112	0.4330299351
113	0.4323842755
114	0.4321483181
115	0.4315171778
116	0.4310563257
117	0.4307378737
118	0.4306364519
119	0.43026289
120	0.4299124327
121	0.4295146159
122	0.4290424215
123	0.4284776029
124	0.4282163072
125	0.4280437284
126	0.4278314036
127	0.4275143769
128	0.4271064519
129	0.4268225552
130	0.4264808201
131	0.4262973246
132	0.4258413784
133	0.4256296201
134	0.4252680673
135	0.4246635576
136	0.4243511711
137	0.424214558
138	0.4238992426
139	0.423670971
140	0.4230624542
141	0.4226738605
142	0.4223923702
143	0.4222133062
144	0.4219874839
145	0.4210389271
146	0.420819025
147	0.4205225455
148	0.4201390603
149	0.4196967514
150	0.4194818122
151	0.4191437392
152	0.4186962938
153	0.4181966789
154	0.4177394055
155	0.4173945822
156	0.417132436
157	0.4169199664
158	0.4163651217
159	0.4158146678
160	0.4156276833
161	0.415430149
162	0.4151982522
163	0.4144534958
164	0.4141217679
165	0.4139510155
166	0.4132448955
167	0.4130084169
168	0.4127033449
169	0.4124100055
170	0.4122257779
171	0.4121385616
172	0.4116876108
173	0.4114760855
174	0.4111200048
175	0.4105277795
176	0.4103581313
177	0.4102003101
178	0.4095816166
179	0.4091178683
180	0.408688711
181	0.4084308671
182	0.4079130537
183	0.4075204034
184	0.4071752996
185	0.40680915
186	0.4064448391
187	0.4060920526
188	0.4058413448
189	0.4052557425
190	0.4051036473
191	0.4049207962
192	0.4045843056
193	0.4041727955
194	0.4037202869
195	0.4034612032
196	0.4031480582
197	0.4029067785
198	0.4025467696
199	0.4021778921
200	0.4015937478
201	0.4012823557
202	0.4008482272
203	0.4005374312
204	0.4000549378
205	0.3996947146
206	0.3993642685
207	0.399018961
208	0.3985641
209	0.3981203713
210	0.3978197151
211	0.3974575376
212	0.3971907867
213	0.3966180877
214	0.3963338325
215	0.3959190235
216	0.3956468114
217	0.3951712351
218	0.3948843326
219	0.3943764857
220	0.3938375632
